"job_title","hiring_company","location","salary","job_url_joined","job_description"
"Data Scientist, Marketplace – all levels","Spotify","New York, NY","Estimated: $110,000 - $160,000 a year","https://www.simplyhired.com/job/-q6yR-atece9p8LQvm2yP8xIX3VcYfRC9wsdPgSS0nWHIG3f2EZOxA?q=data+scientist","Marketplace is the home for Spotify’s music industry products, such as Spotify for Artists, Spotify Label Analytics and Spotify Publisher Analytics.

The Creator Product Insights Team is a thriving insights community of 20+ Data Scientists and User Researchers who blend their skills to help us shape the future of the Creator Marketplace by defining the next generation of music industry products.

We are looking for a Data Scientists – Associate to Senior level to help us continue to develop our music industry products, and develop best-in-class expression and promotion tools for Creators and their teams by exploring the following questions: How do we help artists stand out? How do we help them grow and reach new audiences? How do we help them connect with their fans?

Our mission is to turn terabytes of data into insights and get a deep understanding of the world of music and their creators. You will study user behaviour, evaluate strategic initiatives and experiment with new features.

Together, we’ll come up with exciting and effective ways to help artists succeed. You’ll join us to craft a strategy rooted firmly in data, that delivers on a future vision for the music industry through effective planning, behavioral analysis, experimentation, optimization. You’ll pair with user researchers, product and design to understand the performance of products and their impact on the market.

What you’ll do
Work closely with cross-functional teams of data scientists, product managers, designers and engineers who are passionate about Spotify’s success
Develop a deep understanding of how product and platforms influence user behaviour
Be a strategic partner to product development teams, making and give recommendations when needed
Who you are
You know how to scope and solve loosely defined problems and come up with actionable insights to guide product development decisions
You have a deep understanding of statistics and experience working with real-world data, as well as a strong business sense
You have 4+ years of relevant experience, with a degree in statistics, mathematics, computer science, economics, psychology or another quantitative discipline
You have the technical competence to perform advanced analytics: coding skills (such as Python or Scala), experience with analytics tools (Pandas, R, SPSS or SQL) and experience performing analysis with large datasets
You possess statistical competence (such as regression modelling, a/b testing, significance testing etc)
It is a plus if you
have demonstrated experience with hands-on statistical modelling and possess knowledge about machine learning (such as predictive modelling, decision trees, classification models, clustering techniques)
We’re looking for Data Scientists to join us at multiple levels. We will have an open discussion throughout the interview process about assessing which level and platform you fall within at Spotify."
"Data Engineer","Noom Inc.","New York, NY","Estimated: $73,000 - $96,000 a year","https://www.simplyhired.com/job/pg680lk5W0WVpIIE7QQXRgEim6bP-NKuilb64EfQF80SDIp_X1ufSA?q=data+scientist","At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical problems that center around habits, behavior, and lifestyle.We are looking for a Data Engineer to join our Data team and help us improve and maintain our Data Warehouse. If you like to work with billions of rows of data and be at the center of data-driven decisions, we’ll love working with you.What You’ll Like About UsWe work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionalsWe’re a respectful, diverse, and dynamic environment in which Engineering is a first-class citizen, and where you’ll be able to work on a variety of interesting problems that affect the lives of real people.We offer a generous budget for personal development expenses like training courses, conferences, and books.You’ll get three weeks’ paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote). We worry about results, not time spent in seats.Delicious (and nutritious) daily lunches and snacks prepared by Sam, our NYC office on-site chef.What We’ll Like About YouYou have experience dealing with data at scale, processing and transforming hundreds of millions of data points per day.You have first-rate SQL skills, but you are aware of its limits. You know when to use it, and when it’s better to find a different solution.You are familiar with ETL tools and problems. We use Airflow, Redshift, Glue, and many other systems.You’re used to work alongside data analysts and data scientists to help them prepare complex datasets that can be used to solve difficult problems.Job Type: Full-time"
"Senior Data Scientist","HVH Precision Analytics","New York, NY","Estimated: $110,000 - $140,000 a yearSimply Apply","https://www.simplyhired.com/job/YPL5f6DfJcFxTqZiKpIW3UWlZ0bqR5UKLLVHPAMbe3OnTxpIEdlCpg?q=data+scientist","Job Description: Data science professional to design, implement and deployadvanced machine learning / artificial intelligence algorithms across multipledomains including, but not limited to healthcare, media, programmable ads,retail, and manufacturing. These analysis tasks will involve developingoriginal code and leveraging HVH’s existing healthcare analytics platform toprovide analytic content in support of HVH project work, RFP responses andother business needs. This professionalwill be a member of HVH’s analytics team.Job Requirements: Act in a supervisory role to junior analyst(s)/data scientist(s)Apply data mining and machine learning techniques and models to extract analytic insights from healthcare and non-healthcare data setsResponsible for review, generation, and delivery of analytic products in support of project work, RFP responses and other business needsSupport/supervise the development of visualizations of client deliverablesDevelop software solutions using Python, and/or RInterface with other HVH analysts and data scientists, HVH program managers and members of the medical team and with HVH customersRespond to additional ad-hoc analysis requestsRequired SkillsThe skillsrequired for this position are listed below:Degree in any of the following majors: Engineering, Computer Science, Mathematics, Bioinformatics, PhysicsMinimum 3 years experience, with a BS/MS degree in one of the above listed majorsWorks independently and is a self-starterMS PowerPoint presentation development skillsClient interface and presentationskillsProficiency in the following programming and analysis tools:Visualization toolsPython (pandas, scikit-learn, Numpy, Scipy, and database access packages)SQL / (MySQL)AWS (Redshift)Microsoft ExcelRMS PowerPointLinux (Red Hat, CentOS); Python and software development in a Linux environment * Consideration will be given to priorpublications, independent software projects completed, and non-proprietary codeauthored by the candidateJob Type: Full-timeExperience:Bioinformatics: 3 years (Required)AWS: 3 years (Required)Engineering: 3 years (Required)Computer Science: 3 years (Required)Python: 3 years (Required)Linux: 3 years (Required)Location:New York, NY (Required)Work Location:One locationThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborative"
"Ecological Wetland Scientist","PS&S","Mineola, NY","Estimated: $54,000 - $66,000 a year","https://www.simplyhired.com/job/uip2DCa3k_ke2JyWB08F8Gm7MRFCNdXkFqw4nCdD5nq6tJiCPp7oZA?q=data+scientist","Overview
PS&S is an award-winning “one-stop shop” of architecture and engineering excellence. The depth and breadth of our expertise has helped PS&S grow into a firm of more than 260 professionals offering multi-disciplined, full-service architecture, engineering, design and environmental consulting services.

We offer a single source for planning, design and regulatory compliance services on diverse projects across a number of market segments - education, energy/utilities, hospitality/entertainment, infrastructure/public improvement, real estate and science/technology. Our ability to present virtually all engineering disciplines side by side with our architectural services allows us to respond, quickly and efficiently, to clients’ unique needs. Having proudly served a sophisticated client base operating in numerous industries, we know the importance of developing the most on-time, cost-effective and high-quality solutions to the most difficult client challenges. Our success is measured by the success of our clients; the success of each project is our number one priority.

Responsibilities
Job Duties and Responsibilities

Conduct and direct wetland and waterbody identification and delineation, wildlife habitat assessments, vegetation monitoring, invasive species surveys, and other ecological field surveys
Conduct habitat assessments for rare, threatened, and endangered species and conduct endangered species consultations with USFWS and NYSDEC
Prepare NYSDEC and USACE permit applications for projects affecting waterways, coastlines, and wetlands
Prepare NYSDOS Coastal Consistency and LWRP consistency reviews
Assist in preparation of Stormwater Pollution Prevention Plans (SWPPPs) and performance of SWPPP inspections
Implement field data collection efforts, data validation, and data evaluation and oversee the development of map figures, data tables, and illustrations
Prepare various technical reports including SEQRA Environmental Impact Statements and Environmental Assessments
Experience with Central Pine Barrens Commission consultations a plus
Experience with species-specific presence/absence surveys a plus
Experience with Long Island municipal wetland permitting a plus
Assist with project management and proposal development

Qualifications
Qualifications and Requirements

5-7 or more years of relevant work experience with the above duties and responsibilities
Bachelor’s Degree or higher in environmental sciences, wildlife management, biology or closely related field is required
Strong work ethic and attention to detail, with good organizational skills and ability to manage deadlines and accomplish multiple tasks
Strong technical writing, oral communication, and interpersonal skills
Desire to gain additional experience with project management, client development, and proposal preparation
Knowledge and use of office Microsoft software packages
OSHA 40 - Hour Training preferred but not required
Experience using Trimble GPS units a plus but not required.
Ability to work in a team environment as well as independently
This position is a great opportunity for qualified professionals who are energetic and enthusiastic and who like a wide variety of project types"
"Senior Data Scientist","Strategic Financial Solutions","New York, NY","Estimated: $94,000 - $130,000 a year","https://www.simplyhired.com/job/bSGzVAdHsolARucGQG8VenKS95QW5X5utTCjoO5OUa9zrPXqZg7nBw?q=data+scientist","Overview
Do you love numbers and finding the story in the numbers? Does the thought of tackling a complex data issue make you smile? Have you got a knack for solving problems? Do you want to help drive the results of a multi-million dollar business? If you have answered “yes” to these questions, the Senior Data Scientist position at Strategic Financial Solutions may be the right fit for you.

Strategic is looking for an experienced Data Scientist with extensive machine learning experience to join our Data Science Team, which already produces cutting-edge models for predictive and prescriptive analytics. The person in this role would be responsible for conducting data analysis and developing predictive models leveraging data science and machine learning to solve various business use cases, including marketing intelligence, customer segmentation, and predictive models for operations. We are looking for a candidate who will support our product, sales, leadership and marketing teams with insights gained from analyzing company and external data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities
Work with stakeholders to identify opportunities for leveraging company data to drive business analytics solutions.
Research and develop statistical learning models for data analysis
Communicate results and ideas to key decision makers
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Present information using data visualization techniques
Collaborate with sales, marketing and senior executive teams
Qualifications
~3-5 years of relevant experience
Graduate degree in Statistics, Data Science, Applied Math, Operations Research, or Computer Science.
Strong problem-solving skills with an emphasis on sales and marketing predictive analytics.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Experience using business intelligence tools (e.g. PowerBI, Tableau) and data frameworks (e.g. Hadoop)
About Strategic:
Strategic Financial Solutions is a leading consumer finance company that specializes in helping people that have too much credit card debt. We were recently named the 21st Best Company to Work for in New York by Best Companies to Work For and have been certified as a Great Place to Work 4 times. Additional honors include being named, two times, as one of the 50 fastest growing companies in New York City and to the prestigious Inc. 500 list as one of the 500 fastest growing companies in the United States."
"Sr. Director Data Analysis & Accountability","HeartShare Human Services","Brooklyn, NY","Estimated: $70,000 - $88,000 a year","https://www.simplyhired.com/job/rt39BGzh_C8SpIgF1EyQ8knu2T2nggb1j_vX1NvGLYy0nsZ2UninZw?q=data+scientist","Position Summary
HSVS is looking for a highly motivated senior leader to manage data analytics for the Agency's diverse array of social service programs. The Senior Director of Data Analysis and Accountability will work collaboratively with each of the program heads to establish priorities, monitor performance, and identify areas needing improvement and potential strategies for addressing concerns. The Senior Director will manage a team, including program analysts and a Training Director, and is responsible for ensuring all reporting of data to staff, leadership, and the HSVS Board is accurate and timely. In addition to managing day-to-day departmental operations, the Senior Director must be able to cultivate throughout the Agency a strong commitment to data-informed practice and decision-making. Ideal candidates will not only possess extensive experience in data management and analysis, but will also have strong interpersonal skills that enable them to develop relationships across levels of staff.

Supervises
Senior Program Analyst, Program Analyst, Training Director for Child Welfare Programs

Education
Master's degree or equivalent

Experience
3-5 years of experience in research, program evaluation or quality assurance/improvement, as well as experience working within the nonprofit field.

Requirements
Proficiency in Microsoft Office Suite, including Word, Excel, PowerPoint
Highly organized and effective time management skills
Strong oral and written communication ability
Experience managing large datasets, including preparing (""cleaning"") data for analysis
Knowledge about NYC child welfare, homelessness and housing, and/or behavioral health systems preferred
Prior management experience
Team player
Primary Responsibilities and Essential Functions of Position:
In addition to responsibilities below, performs all other duties as assigned.
Uses positive approaches when handling difficult situations. Avoids gossip and negative discussions. Remains flexible and adapts to change.
Serves as role model for program participants. Abides by dress code. Conducts self in a professional manner at all times.
Remains sensitive and responsive to cultural differences of program participants and staff.
Participates in in-service trainings and on-site workshops as required for professional growth and development. Attends external trainings and workshops at direction of management.
Represents the organization both within and outside of the work environment in a manner that promotes the mission, vision and values of the agency. Personally adheres to organizational mission, vision and values, in addition to all other agency policies and procedures.
Oversee development and dissemination of performance reporting for all programs and the executive team.
Oversee incident tracking, chair incident reviews, and provide reports to HSVS Board.
Supervise staff and oversee day-to-day management of department activities.
Partner with program leadership to establish program priorities and assist with the development of performance indicators, as well as use data to identify program strengths/ challenges and strategies for improvement.
Liaise with external stakeholders
Assists programs with preparing for external audits
Oversee case file audits to assess practice.
Benefits:
Professional Development opportunities
Team Environment
Health, dental and life insurance
403(B) retirement plan with employer contribution
Flexible spending account (medical, parking, and transit)
#HP"
"Programmatic Yield Director","Confidential","New York, NY","Estimated: $110,000 - $150,000 a yearSimply Apply","https://www.simplyhired.com/job/6ZuI6YtPaCR9m5evvxwOgRV6P0LTz0X3mAAOFRE17-NIt_uWusEOJg?q=data+scientist","Director, Data Science and Programmatic YieldWe are seeking a Data Science and Yield Manager. We are looking for a Data Scientist + Yield Manager who will support our product, sales, leadership, and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action to generate revenue. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets, working across teams, yield management, and a desire to improve business outcomes.Drive data strategy and integration into Sales, Audience Development and Marketing Initiatives across all digital propertiesOversee relationship with DMP (Data Management Platform) additional required ad technology solutionsDevelop and build Programmatic Yield Management process in partnership with Programmatic Sales.Understand how platform/data technologies work and offer the ability to explain in ordinary terms (be technically savvy - understand the opportunities and limitations)Identify and quantify opportunities for data targeting to increase inventory valuationCreate and build actionable audience segmentation across all platformsLead Yield management efforts to optimize revenue across channels, including factoring in the impact of programmatic revenueOptimize client performance across RTB Auction Engine - both open auction and PMPs - striving to consistently refine tactics and produce extraordinary results for our DSPs, agencies, and publishers alike.Develop client insights, reporting, and analysis to inform and execute new business and operational strategiesConduct tests of pricing strategies designed to improve yield and grow overall revenueDesign metrics and build, monitor and maintain dashboards, along with all reporting to track key monetization metrics for executives, sales and finance teamsWork closely with Product Marketing, and Sales Planning to create packaging guidelines and rationalize profitability and pricing of new media products, including pricing thresholds and margin attainment.Drive development of quantitative models necessary for evaluation and implementation of new strategies, and product rolloutDevelop, research and analyze pricing strategies - testing and evaluating current and proposed scenariosAct as a pivotal partner to ad sales management and operations team to drive sales performance leading with dataRequirementsBachelor's Degree, preferably in Marketing, Advertising, or Data Science8-10+ years in digital media, ad technology, with particular emphasis in data sciences, yield management, digital advertising analytics, and various data, DMP, CDP, platforms for creating insights related to consumer segments5+ years with increasing responsibility within a publisher or media company3+ years of people managing experienceData and Programmatic Marketing subject matter expertiseUnderstanding of campaign management/ad serving technology (i.e., Double Click DART, Atlas)Working knowledge DSPs, third-party audience dataIn-depth understanding of the digital advertising landscape from either, yield management, media planning or ad operations backgroundExperience analyzing data and communication of outcomes to larger organization.Familiarity with basic accounting/math principlesStatistical analysis experience is a plusStrong ability to work with and guide cross-functional teamsAble to present complex content in an easy to understand manner to senior clients or internal stakeholdersExperience managing multiple, competing priorities, duties and projectsExcellent interpersonal, verbal, written communication, and presentation skillsAbility to lead projects independently from start to finish, working with internal and external teams to make decisions and maintain forward momentumJob Type: Full-timeExperience:relevant: 5 years (Preferred)management: 1 year (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceRetirement planPaid time offSchedule:Monday to Friday"
"Data Scientist","Flocabulary","Brooklyn, NY","Estimated: $84,000 - $120,000 a yearSimply Apply","https://www.simplyhired.com/job/BSipTPPm8xJOHRExvTbFPDrpph49lk0B4tD7abAAmTjTMZ3CjH7zIQ?q=data+scientist","Company Overview:
Nearpod, recently named EdTech Digest’s Company of the Year, is the most comprehensive Student Engagement Platform for K-12 teachers. Nearpod works with any classroom technology from tablets and smartphones to laptops and Chromebooks to help engage students with activities such as Virtual Reality, PhET and Desmos and with more than 7,000 ready-to-run lessons created in partnership with leading brands like Common Sense Education and the Pulitzer Center. Beyond classroom instruction, the company revitalizes teacher development through teacher Professional Learning content that cultivates classroom-changing strategies for educators.

Since its launch in 2012, Nearpod has become a leader (& teacher favorite) in teaching and learning with technology. Currently teachers in 3 out of 5 districts in the US use Nearpod.

Nearpod has offices in Fort Lauderdale, FL and Brooklyn, NY, and is backed by notable investors like Insight Venture Partners, Reach Capital, Storm Ventures, the Stanford StartX Fund, and the Knight Enterprise Fund.

In 2019, Nearpod acquired Flocabulary, the leading video and student creativity platform that uses educational hip-hop to engage students and increase achievement. This acquisition has brought together two of the brands most loved by teacher to help engage students in all K-12 classrooms.
Location: Brooklyn, NY
Department: Tech
Position: Data Scientist
Position Overview:
As Nearpod’s Data Scientist you are organized, analytical, and detail oriented with experience maintaining solid processes and data integrity. You are inquisitive and able to dive into the data to find answers to business problems. In this role, you'll be a key member of the team with an exciting startup with a strong social mission, and be in a position to make a significant positive impact on the business. You’ll help drive a wide range of projects.

Responsibilities

Working with the product team to collect, process, and analyze data scale to drive product direction helping improve the achievement and engagement gaps in schools
Lead the team to increase the level of maturity and skill in analytical software development
Formulate, implement, and evaluate algorithms for platform and application features.
Developing clear documentation, including for summary tables, dashboards, ad-hoc reports and analytics tools.
Making sure the data we use every day in our analytics products are accurate, and be an advocate for clean and maintainable data structures. You’ll build tests to make sure this is the case, and that breaking changes to underlying data models are caught early.
Work closely with Product Management, and Technical Operations, and QA to develop, test, and deploy highly useful, high quality software
Designing new and improving existing models to enhance our analytic capability
Supporting the creation of self-serve tools & external integrations.
Maintaining & enhancing our product usage tracking.
Supporting other ad hoc analyses as needed.

About Analytics
We believe that good analytics help drive good business practices, and that the foundation is accurate data. The team is lean and is expected to be resourceful, thoughtful and creative when allocating resources, prioritizing, and solutioning.
Our stack consists of:Data Warehouse: MS SQL / Redshift
Event tracking: Mixpanel / Snowplow
Visualization: Mode Analytics, Tableau
Other Tools: Salesforce, Pardot, IntercomGainsight, Sendgrid
Requirements

Requirements

3+ years of Data Science / Data Engineering or equivalent experience
3+ years of Python programming experience
Preferably with tools in our stack
Math or science background
Clearly demonstrated organizational capacity & attention to detail
Proficient in writing & debugging SQL
Proficient in pandas, numpy, and/or scikit learn
Comfortable collecting, organizing and presenting data to stakeholders throughout the organization
Familiarity with infographic design is preferrable
Key Traits:
Strong organization - Our team relies on correct, timely analysis and the best way to achieve that is with solid data integrity. Your attention to detail will be a multiplier for the team.
Integrity - Our team depends on your insights and analysis to drive decisions that affect the direction of the product and the company. Your processes and decision making must be conducted with a high degree of integrity and responsibility.
Inquisitive - We hire eager learners who will pick up any tool they need to get the job done.
Excellent communication - We value clarity and objectivity in communication. You possess excellent communication skills and the ability to clearly communicate technical concepts to a non-technical audience

Benefits

Competitive salary
99% paid medical, vision, and dental insurance for full time employees and employer contribution toward dependent care
Company stock options
Flexible time off and parental leave policies
Retirement savings plan (401k) with partial company match
Health & wellness stipend
Office in Dumbo means easy access to our roof deck, parks and waterfront with postcard views"
"Data Scientist","Nearpod","Brooklyn, NY","Estimated: $89,000 - $120,000 a year","https://www.simplyhired.com/job/p0lL5x2yyKSv_l9QDdgTQpdzxljvbIVbyFy8DpkW7-ZPUq8tcIeKJg?q=data+scientist","Level
Undisclosed
Job Location
Brooklyn - , NY
Position Type
Undisclosed
Education Level
Undisclosed
Salary Range
Undisclosed
Travel Percentage
Undisclosed
Job Shift
Undisclosed
Job Category
Engineering
Company Overview:
Nearpod, recently named EdTech Digest’s Company of the Year, is the most comprehensive Student Engagement Platform for K-12 teachers. Nearpod works with any classroom technology from tablets and smartphones to laptops and Chromebooks to help engage students with activities such as Virtual Reality, PhET and Desmos and with more than 7,000 ready-to-run lessons created in partnership with leading brands like Common Sense Education and the Pulitzer Center. Beyond classroom instruction, the company revitalizes teacher development through teacher Professional Learning content that cultivates classroom-changing strategies for educators.

Since its launch in 2012, Nearpod has become a leader (& teacher favorite) in teaching and learning with technology. Currently teachers in 3 out of 5 districts in the US use Nearpod.

Nearpod has offices in Fort Lauderdale, FL and Brooklyn, NY, and is backed by notable investors like Insight Venture Partners, Reach Capital, Storm Ventures, the Stanford StartX Fund, and the Knight Enterprise Fund.

In 2019, Nearpod acquired Flocabulary, the leading video and student creativity platform that uses educational hip-hop to engage students and increase achievement. This acquisition has brought together two of the brands most loved by teacher to help engage students in all K-12 classrooms.
Location: Brooklyn, NY
Position Overview:
As Nearpod’s Data Science Scientist, you are organized, analytical, and detail oriented with experience maintaining solid processes and data integrity. You are inquisitive and able to dive into the data to find answers to business problems. In this role, you'll be a key member of the team with an exciting startup with a strong social mission, and be in a position to make a significant positive impact on the business. You’ll help drive a wide range of projects.

Responsibilities

Work with the product team to collect, process, and analyze data to drive product direction in helping improve the achievement and engagement gaps in schools

Lead the team to increase the level of maturity and skill in analytical software development

Formulate, implement, and evaluate algorithms for platform and application features

Develop clear documentation for summary tables, dashboards, ad-hoc reports and analytics tools

Make sure the data we use every day in our analytics products are accurate, and be an advocate for clean and maintainable data structures. You’ll build tests to make sure this is the case, and that breaking changes to underlying data models are caught early.

Work closely with Product Management, Technical Operations, and QA to develop, test, and deploy highly useful, high quality software

Design new and improving existing models to enhance our analytic capability

Support the creation of self-serve tools & external integrations

Support other ad hoc analyses as needed.

About Analytics

We believe that good analytics help drive good business practices, and that the foundation is accurate data. The team is lean and is expected to be resourceful, thoughtful and creative when allocating resources, prioritizing, and solutioning.
Our stack consists of:Data Warehouse: MS SQL / Redshift
Event tracking: Mixpanel / Snowplow
Visualization: Mode Analytics, Tableau
Other Tools: Salesforce, Pardot, Intercom, Gainsight, Sendgrid

Requirements

3+ years of Data Science / Data Engineering or equivalent experience

3+ years of Python programming experience

Preferably with tools in our stack

Math or science background

Clearly demonstrated organizational capacity & attention to detail

Proficient in writing & debugging SQL

Proficient in pandas, numpy, and/or scikit learn

Comfortable collecting, organizing and presenting data to stakeholders throughout the organization

Familiarity with infographic design is preferrable
Key Traits:
Strong organization - Our team relies on correct, timely analysis and the best way to achieve that is with solid data integrity. Your attention to detail will be a multiplier for the team.

Integrity - Our team depends on your insights and analysis to drive decisions that affect the direction of the product and the company. Your processes and decision making must be conducted with a high degree of integrity and responsibility.

Inquisitive - We hire eager learners who will pick up any tool they need to get the job done.

Excellent communication - We value clarity and objectivity in communication. You possess excellent communication skills and the ability to clearly communicate technical concepts to a non-technical audience
Employment Requirements: Must be authorized to work in the U.S. without restrictions

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
"Data Scientist","Cloudera","Brooklyn, NY","Estimated: $94,000 - $140,000 a year8d","https://www.simplyhired.com/job/nG6Qv7_16Qit9Yu-FK9GAQOtn9FeFlisRF0OoHngbqEMkE2yDwLyPg?q=data+scientist","Job Description:Key Responsibilities:
As a Data Scientist you’ll be a core member of our Fast Forward Labs Application Development team. This is a client facing position. You will spend most of your time building machine learning models to tackle real life business problems through asking the right questions, understanding proprietary and publicly available data, extracting and leveraging insights from the data, and communicating both process and outcome to business stakeholders.
Skills and Qualifications:
This position requires a strong math background, with a particular focus on machine learning algorithms and comfort with quantitative analysis.

You should be quite familiar with leading practices in the machine learning lifecycle, including data preparation for analysis, ML model selection, training and validation. We also expect that you have experience with preparing ML models for production.

We expect you to be a strong programmer, and willing to embrace software engineering best practices. We primarily work in Python for research code but are always open to the best technologies for a given problem.

You should also have a background in current CI/CD and DevOps practices. Working knowledge of the Kubernetes ecosystem and production-grade ML systems is a plus.

You should be comfortable to diving into diverse forms of data in order to help define questions that can and should be answered

We often find in applied machine learning that the art of asking the right question is more of a challenge than finding the answer. We expect you’ll be enthusiastic and skilled at formulating the right questions and thinking strategically. Sometimes the simplest solution is the best answer.

You should have spent at least 3 years as a practicing data scientist or machine learning engineer.

In your past, you should have completed a degree program in a computationally intensive quantitative field (e.g. CS, physics, neuroscience, operations management, operations research) or demonstrated relevant experience in using data science and machine learning to solve business problems.

We expect that you have extensive experience using python (+ pandas) for statistical analysis and machine learning.

We would also love to learn about your experiences working with supervised (e.g. regression, classification) and unsupervised machine learning techniques.

At Fast Forward Labs, we believe that you should do what you love most of the time. As such, you should have a keen interest in ability to creatively combine algorithms to solve novel problems. In addition it should excite you to explain nuanced technical work to business stakeholders in plain language, and to create effective data visualizations. Of course, it’s important that you enjoy working with business stakeholders, data engineers, product engineers, model deployment teams.

Because this is a development-focused role, you should have familiarity with production ready code, testing frameworks, and collaborative coding environments (e.g. git).

Who We Are

Cloudera Fast Forward Labs is an applied machine learning research group within Cloudera that helps organizations recognize and develop new product and business opportunities through emerging machine learning and AI technologies. We offer a research subscription service, consulting services and advisory services to companies in a wide set of industries.

We support our clients by helping them create powerful data products, help businesses capture the value of emerging data capabilities, and bring the lessons learned through that work to our research process.

We value thoughtfulness, curiosity, creativity, and diverse perspectives. This position is based in our Brooklyn office."
